Date,Monthly Real GDP Index
1992 - Apr,9193.55
1992 - May,9163.36
1992 - Jun,9313.02
1992 - Jul,9318.63
1992 - Aug,9298.22
1992 - Sep,9322.15
1992 - Oct,9368.74
1992 - Nov,9391.50
1992 - Dec,9458.58
1993 - Jan,9416.39
1993 - Feb,9431.22
1993 - Mar,9423.88
1993 - Apr,9445.62
1993 - May,9486.63
1993 - Jun,9507.23
1993 - Jul,9477.65
1993 - Aug,9511.53
1993 - Sep,9588.87
1993 - Oct,9580.84
1993 - Nov,9673.53
1993 - Dec,9705.27
1994 - Jan,9710.71
1994 - Feb,9763.64
1994 - Mar,9769.42
1994 - Apr,9814.40
1994 - May,9936.85
1994 - Jun,9892.20
1994 - Jul,9917.81
1994 - Aug,9975.38
1994 - Sep,9925.18
1994 - Oct,10029.93
1994 - Nov,10030.77
1994 - Dec,10096.05
1995 - Jan,10127.26
1995 - Feb,10038.89
1995 - Mar,10093.73
1995 - Apr,10076.42
1995 - May,10101.94
1995 - Jun,10187.23
1995 - Jul,10140.48
1995 - Aug,10198.89
1995 - Sep,10286.31
1995 - Oct,10252.29
1995 - Nov,10252.91
1995 - Dec,10337.68
1996 - Jan,10327.22
1996 - Feb,10327.78
1996 - Mar,10390.49
1996 - Apr,10534.70
1996 - May,10499.49
1996 - Jun,10553.30
1996 - Jul,10596.09
1996 - Aug,10616.34
1996 - Sep,10667.08
1996 - Oct,10748.22
1996 - Nov,10759.00
1996 - Dec,10709.09
1997 - Jan,10718.48
1997 - Feb,10880.49
1997 - Mar,10862.78
1997 - Apr,10972.74
1997 - May,10936.15
1997 - Jun,11042.65
1997 - Jul,11092.16
1997 - Aug,11116.84
1997 - Sep,11161.95
1997 - Oct,11193.70
1997 - Nov,11172.93
1997 - Dec,11263.22
1998 - Jan,11198.13
1998 - Feb,11366.95
1998 - Mar,11397.52
1998 - Apr,11380.29
1998 - May,11406.30
1998 - Jun,11505.25
1998 - Jul,11490.85
1998 - Aug,11546.88
1998 - Sep,11702.86
1998 - Oct,11750.40
1998 - Nov,11792.17
1998 - Dec,11768.26
1999 - Jan,11791.50
1999 - Feb,11870.46
1999 - Mar,11930.81
1999 - Apr,11923.51
1999 - May,11983.35
1999 - Jun,11979.32
1999 - Jul,12095.69
1999 - Aug,12086.06
1999 - Sep,12156.24
1999 - Oct,12234.56
1999 - Nov,12323.22
1999 - Dec,12410.65
2000 - Jan,12294.14
2000 - Feb,12352.81
2000 - Mar,12428.90
2000 - Apr,12578.88
2000 - May,12581.41
2000 - Jun,12615.65
2000 - Jul,12528.12
2000 - Aug,12649.17
2000 - Sep,12644.04
2000 - Oct,12693.51
2000 - Nov,12694.22
2000 - Dec,12648.52
2001 - Jan,12666.80
2001 - Feb,12630.82
2001 - Mar,12630.75
2001 - Apr,12688.24
2001 - May,12760.94
2001 - Jun,12680.21
2001 - Jul,12637.50
2001 - Aug,12772.29
2001 - Sep,12598.99
2001 - Oct,12687.79
2001 - Nov,12613.83
2001 - Dec,12813.08
2002 - Jan,12856.04
2002 - Feb,12770.26
2002 - Mar,12839.39
2002 - Apr,12875.47
2002 - May,12877.51
2002 - Jun,12924.82
2002 - Jul,12986.27
2002 - Aug,12925.24
2002 - Sep,12954.55
2002 - Oct,12912.31
2002 - Nov,12956.02
2002 - Dec,13022.17
2003 - Jan,12995.41
2003 - Feb,13079.54
2003 - Mar,13017.34
2003 - Apr,13121.12
2003 - May,13098.52
2003 - Jun,13235.47
2003 - Jul,13306.13
2003 - Aug,13359.35
2003 - Sep,13450.54
2003 - Oct,13481.46
2003 - Nov,13540.27
2003 - Dec,13563.10
2004 - Jan,13504.83
2004 - Feb,13624.62
2004 - Mar,13688.68
2004 - Apr,13671.82
2004 - May,13770.65
2004 - Jun,13674.88
2004 - Jul,13812.99
2004 - Aug,13831.68
2004 - Sep,13846.47
2004 - Oct,13941.78
2004 - Nov,13942.90
2004 - Dec,13965.24
2005 - Jan,14105.96
2005 - Feb,14068.53
2005 - Mar,14121.59
2005 - Apr,14159.66
2005 - May,14110.36
2005 - Jun,14246.85
2005 - Jul,14271.76
2005 - Aug,14322.78
2005 - Sep,14279.60
2005 - Oct,14295.73
2005 - Nov,14353.01
2005 - Dec,14470.20
2006 - Jan,14496.37
2006 - Feb,14501.38
2006 - Mar,14639.29
2006 - Apr,14553.10
2006 - May,14616.84
2006 - Jun,14597.64
2006 - Jul,14555.48
2006 - Aug,14597.59
2006 - Sep,14653.58
2006 - Oct,14662.20
2006 - Nov,14759.60
2006 - Dec,14727.72
2007 - Jan,14699.46
2007 - Feb,14789.85
2007 - Mar,14687.48
2007 - Apr,14825.20
2007 - May,14848.55
2007 - Jun,14841.07
2007 - Jul,14834.89
2007 - Aug,14977.03
2007 - Sep,15002.38
2007 - Oct,14948.57
2007 - Nov,14994.44
2007 - Dec,15030.96
2008 - Jan,15033.93
2008 - Feb,14782.30
2008 - Mar,14851.06
2008 - Apr,14880.20
2008 - May,14888.23
2008 - Jun,15120.26
2008 - Jul,14980.99
2008 - Aug,14905.11
2008 - Sep,14787.21
2008 - Oct,14641.23
2008 - Nov,14668.29
2008 - Dec,14420.64
2009 - Jan,14390.16
2009 - Feb,14375.85
2009 - Mar,14358.93
2009 - Apr,14354.02
2009 - May,14361.49
2009 - Jun,14351.09
2009 - Jul,14346.67
2009 - Aug,14427.20
2009 - Sep,14433.53
2009 - Oct,14600.25
2009 - Nov,14562.23
2009 - Dec,14463.27
2010 - Jan,14551.20
2010 - Feb,14583.42
2010 - Mar,14679.59
2010 - Apr,14724.06
2010 - May,14734.27
2010 - Jun,14779.44
2010 - Jul,14834.55
2010 - Aug,14816.67
2010 - Sep,14885.36
2010 - Oct,14950.12
2010 - Nov,14896.50
2010 - Dec,14970.47
2011 - Jan,14834.60
2011 - Feb,14800.28
2011 - Mar,15009.07
2011 - Apr,15048.83
2011 - May,14993.54
2011 - Jun,14926.72
2011 - Jul,14997.55
2011 - Aug,15096.48
2011 - Sep,14969.63
2011 - Oct,15253.37
2011 - Nov,15167.10
2011 - Dec,15150.79
2012 - Jan,15230.04
2012 - Feb,15367.42
2012 - Mar,15227.51
2012 - Apr,15307.79
2012 - May,15332.05
2012 - Jun,15370.22
2012 - Jul,15475.87
2012 - Aug,15371.05
2012 - Sep,15446.98
2012 - Oct,15380.58
2012 - Nov,15406.78
2012 - Dec,15514.03
2013 - Jan,15588.63
2013 - Feb,15474.77
2013 - Mar,15552.13
2013 - Apr,15603.00
2013 - May,15534.04
2013 - Jun,15683.18
2013 - Jul,15710.01
2013 - Aug,15797.02
2013 - Sep,15833.07
2013 - Oct,15886.93
2013 - Nov,15972.43
2013 - Dec,15889.62
2014 - Jan,15807.44
2014 - Feb,15818.30
2014 - Mar,15869.77
2014 - Apr,15953.96
2014 - May,16005.99
2014 - Jun,16071.66
2014 - Jul,16161.11
2014 - Aug,16222.96
2014 - Sep,16226.43
2014 - Oct,16264.24
2014 - Nov,16363.14
2014 - Dec,16274.86
2015 - Jan,16351.43
